Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,12/07/2020,0,0.0,0.0,0.0,28.2,32.0,25.6,20.3,51.9,1.4439,103.7854
North,Admiralty,13/07/2020,23,15.6,18.2,20.2,25.5,28.2,23.6,11.1,39.3,1.4439,103.7854
North,Admiralty,14/07/2020,0.2,0.2,0.2,0.2,27.0,29.9,25.0,10.2,32.0,1.4439,103.7854
North,Admiralty,15/07/2020,11.6,9.4,11.6,11.6,27.4,31.7,25.0,8.7,25.9,1.4439,103.7854
North,Admiralty,16/07/2020,3.8,,,,28.0,34.6,24.2,11.0,40.7,1.4439,103.7854
North,Admiralty,17/07/2020,0,0.0,0.0,0.0,29.0,33.2,25.2,9.6,25.9,1.4439,103.7854
North,Admiralty,18/07/2020,7.4,3.0,4.8,5.6,27.7,31.8,26.0,12.1,34.3,1.4439,103.7854
North,Admiralty,19/07/2020,0,0.0,0.0,0.0,28.4,33.2,24.8,9.7,27.8,1.4439,103.7854
North,Admiralty,20/07/2020,0,0.0,0.0,0.0,29.4,33.4,27.3,13.2,39.6,1.4439,103.7854
North,Admiralty,21/07/2020,0,0.0,0.0,0.0,29.5,33.9,27.4,11.7,38.2,1.4439,103.7854
North,Admiralty,22/07/2020,19,12.8,13.4,13.4,27.3,29.9,23.8,9.8,25.6,1.4439,103.7854
North,Admiralty,23/07/2020,2.2,1.2,1.6,1.8,27.6,31.1,24.7,9.0,36.3,1.4439,103.7854
North,Admiralty,24/07/2020,9,8.2,8.6,8.6,27.4,30.8,24.2,11.0,42.8,1.4439,103.7854
North,Admiralty,25/07/2020,5,5.0,5.0,5.0,27.0,31.0,24.8,10.9,31.7,1.4439,103.7854
North,Admiralty,26/07/2020,17.2,10.0,10.4,10.4,27.1,31.8,24.0,10.8,45.4,1.4439,103.7854
North,Admiralty,27/07/2020,40.6,14.6,15.6,19.8,26.0,29.9,22.8,10.3,43.5,1.4439,103.7854
North,Admiralty,28/07/2020,0.2,0.2,0.2,0.2,27.7,31.6,24.5,9.7,27.4,1.4439,103.7854
North,Admiralty,29/07/2020,9.4,3.4,4.2,5.6,25.9,28.4,23.9,9.9,22.0,1.4439,103.7854
North,Admiralty,30/07/2020,0,0.0,0.0,0.0,28.4,32.7,25.2,10.4,26.3,1.4439,103.7854
North,Admiralty,31/07/2020,26,19.8,25.6,26.0,27.9,30.9,23.4,9.6,39.3,1.4439,103.7854
North,Admiralty,01/08/2020,1.2,1.2,1.2,1.2,27.2,30.8,25.0,20.9,50.0,1.4439,103.7854
North,Admiralty,02/08/2020,0,0.0,0.0,0.0,27.3,30.9,24.3,19.1,42.5,1.4439,103.7854
North,Admiralty,03/08/2020,16.4,10.8,15.0,15.4,27.9,33.6,25.6,12.6,31.0,1.4439,103.7854
North,Admiralty,04/08/2020,33.6,27.6,32.8,33.0,27.9,35.1,23.3,12.1,35.6,1.4439,103.7854
North,Admiralty,05/08/2020,8.4,3.8,4.4,7.0,28.8,32.3,25.3,9.2,29.8,1.4439,103.7854
North,Admiralty,06/08/2020,0,0.0,0.0,0.0,29.3,34.8,27.1,10.9,34.3,1.4439,103.7854
North,Admiralty,07/08/2020,4,4.0,4.0,4.0,27.0,30.0,25.1,8.7,23.7,1.4439,103.7854
North,Admiralty,08/08/2020,0,0.0,0.0,0.0,30.2,34.6,27.6,9.2,27.8,1.4439,103.7854
North,Admiralty,09/08/2020,0.2,0.2,0.2,0.2,28.0,31.9,25.4,12.2,34.6,1.4439,103.7854
